,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,,0.0,
Albania,Albania,7,4,2,1,10,5,5,57.14285714285714,14.0,2.0
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,2,1,1,0,3,2,1,50.0,4.0,2.0
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,8,0,2,6,2,20,-18,0.0,2.0,0.25
Angola,Angola,1,1,0,0,3,0,3,100.0,3.0,3.0
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,,0.0,
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,4,3,1,0,6,2,4,75.0,10.0,2.5
Armenia,Armenia,6,3,2,1,9,6,3,50.0,11.0,1.8333333333333333
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,0,0,0,0,0,0,0,,0.0,
Australia,Australia,0,0,0,0,0,0,0,,0.0,
Austria,Austria,8,6,1,1,14,7,7,75.0,19.0,2.375
Azerbaijan,Azerbaijan,7,1,4,2,2,4,-2,14.285714285714285,7.0,1.0
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,3,2,0,1,4,2,2,66.66666666666666,6.0,2.0
Bangladesh,Bangladesh,3,1,1,1,2,5,-3,33.33333333333333,4.0,1.3333333333333333
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,2,0,0,2,2,8,-6,0.0,0.0,0.0
Basque Country,Basque Country,0,0,0,0,0,0,0,,0.0,
Belarus,Belarus,7,3,1,3,13,13,0,42.857142857142854,10.0,1.4285714285714286
Belgium,Belgium,8,6,1,1,19,8,11,75.0,19.0,2.375
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,1,1,0,0,2,0,2,100.0,3.0,3.0
Bermuda,Bermuda,0,0,0,0,0,0,0,,0.0,
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,4,0,1,3,5,12,-7,0.0,1.0,0.25
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,7,0,2,5,3,13,-10,0.0,2.0,0.2857142857142857
Botswana,Botswana,0,0,0,0,0,0,0,,0.0,
Brazil,Brazil,4,4,0,0,12,2,10,100.0,12.0,3.0
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,0,0,0,0,0,0,0,,0.0,
Bulgaria,Bulgaria,7,1,2,4,5,7,-2,14.285714285714285,5.0,0.7142857142857143
Burkina Faso,Burkina Faso,2,2,0,0,5,1,4,100.0,6.0,3.0
Burma,Burma,0,0,0,0,0,0,0,,0.0,
Burundi,Burundi,1,1,0,0,1,0,1,100.0,3.0,3.0
Cambodia,Cambodia,0,0,0,0,0,0,0,,0.0,
Cameroon,Cameroon,2,0,2,0,0,0,0,0.0,2.0,1.0
Canada,Canada,3,2,0,1,8,3,5,66.66666666666666,6.0,2.0
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,2,1,0,1,3,3,0,50.0,3.0,1.5
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,0,0,0,0,0,0,0,,0.0,
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,0,0,0,0,0,0,0,,0.0,
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,1,0,0,1,0,2,-2,0.0,0.0,0.0
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,4,1,1,2,6,6,0,25.0,4.0,1.0
China PR,China PR,0,0,0,0,0,0,0,,0.0,
Chinese Taipei,Chinese Taipei,0,0,0,0,0,0,0,,0.0,
Colombia,Colombia,4,1,1,2,6,11,-5,25.0,4.0,1.0
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,1,0,0,1,0,1,-1,0.0,0.0,0.0
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
Costa Rica,Costa Rica,4,0,1,3,1,4,-3,0.0,1.0,0.25
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,8,2,1,5,14,20,-6,25.0,7.0,0.875
Cuba,Cuba,0,0,0,0,0,0,0,,0.0,
Curaçao,Curaçao,0,0,0,0,0,0,0,,0.0,
Cyprus,Cyprus,8,1,1,6,4,14,-10,12.5,4.0,0.5
Czech Republic,Czech Republic,8,5,0,3,11,7,4,62.5,15.0,1.875
Czechoslovakia,Czechoslovakia,0,0,0,0,0,0,0,,0.0,
DR Congo,DR Congo,0,0,0,0,0,0,0,,0.0,
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,8,5,1,2,14,7,7,62.5,16.0,2.0
Djibouti,Djibouti,0,0,0,0,0,0,0,,0.0,
Dominica,Dominica,0,0,0,0,0,0,0,,0.0,
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0,,0.0,
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,4,3,0,1,13,6,7,75.0,9.0,2.25
Egypt,Egypt,0,0,0,0,0,0,0,,0.0,
El Salvador,El Salvador,2,0,0,2,0,7,-7,0.0,0.0,0.0
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,8,5,1,2,13,4,9,62.5,16.0,2.0
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0,,0.0,
Eritrea,Eritrea,0,0,0,0,0,0,0,,0.0,
Estonia,Estonia,8,0,3,5,6,16,-10,0.0,3.0,0.375
Eswatini,Eswatini,0,0,0,0,0,0,0,,0.0,
Ethiopia,Ethiopia,1,0,1,0,2,2,0,0.0,1.0,1.0
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,8,3,3,2,10,11,-1,37.5,12.0,1.5
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,0,0,0,0,0,0,0,,0.0,
Finland,Finland,8,5,0,3,10,10,0,62.5,15.0,1.875
France,France,8,6,1,1,19,8,11,75.0,19.0,2.375
French Guiana,French Guiana,0,0,0,0,0,0,0,,0.0,
Frøya,Frøya,0,0,0,0,0,0,0,,0.0,
Gabon,Gabon,1,0,0,1,0,2,-2,0.0,0.0,0.0
Galicia,Galicia,0,0,0,0,0,0,0,,0.0,
Gambia,Gambia,1,1,0,0,1,0,1,100.0,3.0,3.0
Georgia,Georgia,6,1,4,1,6,6,0,16.666666666666664,7.0,1.1666666666666667
German DR,German DR,0,0,0,0,0,0,0,,0.0,
Germany,Germany,8,3,4,1,14,16,-2,37.5,13.0,1.625
