,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,11,1,2,8,7,26,-19,9.090909090909092,5.0,0.45454545454545453
Albania,Albania,14,3,2,9,12,23,-11,21.428571428571427,11.0,0.7857142857142857
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,59,24,12,23,81,69,12,40.67796610169492,84.0,1.423728813559322
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,7,2,2,3,9,10,-1,28.57142857142857,8.0,1.1428571428571428
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,12,1,0,11,6,40,-34,8.333333333333332,3.0,0.25
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,106,52,29,25,193,124,69,49.056603773584904,185.0,1.7452830188679245
Armenia,Armenia,1,0,0,1,0,3,-3,0.0,0.0,0.0
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,0,0,0,0,0,0,0,,0.0,
Australia,Australia,59,28,15,16,98,56,42,47.45762711864407,99.0,1.6779661016949152
Austria,Austria,78,34,21,23,116,90,26,43.58974358974359,123.0,1.5769230769230769
Azerbaijan,Azerbaijan,1,0,0,1,0,1,-1,0.0,0.0,0.0
Bahamas,Bahamas,1,0,0,1,0,8,-8,0.0,0.0,0.0
Bahrain,Bahrain,41,12,4,25,53,80,-27,29.268292682926827,40.0,0.975609756097561
Bangladesh,Bangladesh,18,2,4,12,14,66,-52,11.11111111111111,10.0,0.5555555555555556
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,19,5,5,9,15,22,-7,26.31578947368421,20.0,1.0526315789473684
Basque Country,Basque Country,3,1,1,1,5,2,3,33.33333333333333,4.0,1.3333333333333333
Belarus,Belarus,7,2,2,3,7,7,0,28.57142857142857,8.0,1.1428571428571428
Belgium,Belgium,57,28,12,17,75,46,29,49.122807017543856,96.0,1.6842105263157894
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,23,5,3,15,21,59,-38,21.73913043478261,18.0,0.782608695652174
Bermuda,Bermuda,12,2,3,7,12,24,-12,16.666666666666664,9.0,0.75
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,41,9,8,24,41,95,-54,21.951219512195124,35.0,0.8536585365853658
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,8,0,0,8,5,28,-23,0.0,0.0,0.0
Brazil,Brazil,101,67,25,9,194,66,128,66.33663366336634,226.0,2.237623762376238
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,4,0,0,4,1,37,-36,0.0,0.0,0.0
Bulgaria,Bulgaria,105,34,35,36,153,145,8,32.38095238095238,137.0,1.3047619047619048
Burkina Faso,Burkina Faso,25,5,5,15,36,57,-21,20.0,20.0,0.8
Burma,Burma,94,52,17,25,201,95,106,55.319148936170215,173.0,1.8404255319148937
Burundi,Burundi,6,1,0,5,3,9,-6,16.666666666666664,3.0,0.5
Cambodia,Cambodia,53,16,11,26,71,104,-33,30.18867924528302,59.0,1.1132075471698113
Cameroon,Cameroon,35,14,7,14,51,52,-1,40.0,49.0,1.4
Canada,Canada,31,7,8,16,29,63,-34,22.58064516129032,29.0,0.9354838709677419
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,2,0,0,2,0,4,-4,0.0,0.0,0.0
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,2,1,1,0,3,2,1,50.0,4.0,2.0
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,2,1,0,1,5,4,1,50.0,3.0,1.5
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,2,2,0,0,5,0,5,100.0,6.0,3.0
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,70,24,15,31,95,97,-2,34.285714285714285,87.0,1.2428571428571429
China PR,China PR,55,33,11,11,131,76,55,60.0,110.0,2.0
Chinese Taipei,Chinese Taipei,11,3,3,5,10,18,-8,27.27272727272727,12.0,1.0909090909090908
Colombia,Colombia,35,11,7,17,32,47,-15,31.428571428571427,40.0,1.1428571428571428
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,54,20,13,21,83,94,-11,37.03703703703704,73.0,1.3518518518518519
Cook Islands,Cook Islands,3,0,0,3,2,61,-59,0.0,0.0,0.0
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
