,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,1,0,0,1,0,4,-4,0.0,0.0,0.0
Albania,Albania,8,3,2,3,10,25,-15,37.5,11.0,1.375
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,0,0,0,0,0,0,0,,0.0,
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,0,0,0,0,0,0,0,,0.0,
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,,0.0,
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,66,41,12,13,141,70,71,62.121212121212125,135.0,2.0454545454545454
Armenia,Armenia,0,0,0,0,0,0,0,,0.0,
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,12,2,5,5,21,26,-5,16.666666666666664,11.0,0.9166666666666666
Australia,Australia,17,7,1,9,32,45,-13,41.17647058823529,22.0,1.2941176470588236
Austria,Austria,74,31,18,25,178,141,37,41.891891891891895,111.0,1.5
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,,0.0,
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,0,0,0,0,0,0,0,,0.0,
Bangladesh,Bangladesh,0,0,0,0,0,0,0,,0.0,
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,8,4,0,4,15,14,1,50.0,12.0,1.5
Basque Country,Basque Country,0,0,0,0,0,0,0,,0.0,
Belarus,Belarus,3,1,0,2,4,9,-5,33.33333333333333,3.0,1.0
Belgium,Belgium,70,23,16,31,140,172,-32,32.857142857142854,85.0,1.2142857142857142
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,2,0,0,2,1,11,-10,0.0,0.0,0.0
Bermuda,Bermuda,0,0,0,0,0,0,0,,0.0,
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,23,6,4,13,26,66,-40,26.08695652173913,22.0,0.9565217391304348
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,0,0,0,0,0,0,0,,0.0,
Brazil,Brazil,94,60,18,16,224,99,125,63.829787234042556,198.0,2.106382978723404
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,0,0,0,0,0,0,0,,0.0,
Bulgaria,Bulgaria,44,15,14,15,67,62,5,34.090909090909086,59.0,1.3409090909090908
Burkina Faso,Burkina Faso,0,0,0,0,0,0,0,,0.0,
Burma,Burma,19,5,3,11,30,39,-9,26.31578947368421,18.0,0.9473684210526315
Burundi,Burundi,1,0,0,1,1,9,-8,0.0,0.0,0.0
Cambodia,Cambodia,8,2,1,5,16,27,-11,25.0,7.0,0.875
Cameroon,Cameroon,0,0,0,0,0,0,0,,0.0,
Canada,Canada,4,2,0,2,8,8,0,50.0,6.0,1.5
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,1,0,0,1,2,3,-1,0.0,0.0,0.0
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,1,0,0,1,0,6,-6,0.0,0.0,0.0
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,0,0,0,0,0,0,0,,0.0,
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,0,0,0,0,0,0,0,,0.0,
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,66,24,8,34,112,135,-23,36.36363636363637,80.0,1.2121212121212122
China PR,China PR,16,7,1,8,24,31,-7,43.75,22.0,1.375
Chinese Taipei,Chinese Taipei,7,3,1,3,18,16,2,42.857142857142854,10.0,1.4285714285714286
Colombia,Colombia,11,2,1,8,14,35,-21,18.181818181818183,7.0,0.6363636363636364
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,0,0,0,0,0,0,0,,0.0,
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
Costa Rica,Costa Rica,32,22,3,7,96,43,53,68.75,69.0,2.15625
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,2,2,0,0,9,3,6,100.0,6.0,3.0
Cuba,Cuba,9,0,0,9,3,28,-25,0.0,0.0,0.0
Curaçao,Curaçao,34,18,4,12,72,57,15,52.94117647058824,58.0,1.7058823529411764
Cyprus,Cyprus,0,0,0,0,0,0,0,,0.0,
Czech Republic,Czech Republic,0,0,0,0,0,0,0,,0.0,
Czechoslovakia,Czechoslovakia,60,24,11,25,101,103,-2,40.0,83.0,1.3833333333333333
DR Congo,DR Congo,1,0,0,1,0,1,-1,0.0,0.0,0.0
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,68,21,13,34,123,158,-35,30.88235294117647,76.0,1.1176470588235294
Djibouti,Djibouti,3,0,0,3,3,14,-11,0.0,0.0,0.0
Dominica,Dominica,0,0,0,0,0,0,0,,0.0,
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0,,0.0,
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,22,1,4,17,18,69,-51,4.545454545454546,7.0,0.3181818181818182
Egypt,Egypt,19,8,2,9,28,35,-7,42.10526315789473,26.0,1.368421052631579
El Salvador,El Salvador,17,8,3,6,25,30,-5,47.05882352941176,27.0,1.588235294117647
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,85,44,22,19,210,130,80,51.76470588235295,154.0,1.811764705882353
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0,,0.0,
