,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,,0.0,
Albania,Albania,0,0,0,0,0,0,0,,0.0,
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,0,0,0,0,0,0,0,,0.0,
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,0,0,0,0,0,0,0,,0.0,
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,,0.0,
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,65,33,10,22,124,90,34,50.76923076923077,109.0,1.676923076923077
Armenia,Armenia,0,0,0,0,0,0,0,,0.0,
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,0,0,0,0,0,0,0,,0.0,
Australia,Australia,0,0,0,0,0,0,0,,0.0,
Austria,Austria,42,15,6,21,75,86,-11,35.714285714285715,51.0,1.2142857142857142
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,,0.0,
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,0,0,0,0,0,0,0,,0.0,
Bangladesh,Bangladesh,0,0,0,0,0,0,0,,0.0,
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,0,0,0,0,0,0,0,,0.0,
Basque Country,Basque Country,6,4,2,0,17,4,13,66.66666666666666,14.0,2.3333333333333335
Belarus,Belarus,0,0,0,0,0,0,0,,0.0,
Belgium,Belgium,23,11,3,9,64,51,13,47.82608695652174,36.0,1.565217391304348
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,0,0,0,0,0,0,0,,0.0,
Bermuda,Bermuda,0,0,0,0,0,0,0,,0.0,
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,0,0,0,0,0,0,0,,0.0,
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,0,0,0,0,0,0,0,,0.0,
Brazil,Brazil,15,6,4,5,28,24,4,40.0,22.0,1.4666666666666666
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,0,0,0,0,0,0,0,,0.0,
Bulgaria,Bulgaria,0,0,0,0,0,0,0,,0.0,
Burkina Faso,Burkina Faso,0,0,0,0,0,0,0,,0.0,
Burma,Burma,0,0,0,0,0,0,0,,0.0,
Burundi,Burundi,0,0,0,0,0,0,0,,0.0,
Cambodia,Cambodia,0,0,0,0,0,0,0,,0.0,
Cameroon,Cameroon,0,0,0,0,0,0,0,,0.0,
Canada,Canada,0,0,0,0,0,0,0,,0.0,
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,0,0,0,0,0,0,0,,0.0,
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,8,1,2,5,5,24,-19,12.5,5.0,0.625
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,0,0,0,0,0,0,0,,0.0,
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,0,0,0,0,0,0,0,,0.0,
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,16,0,1,15,6,54,-48,0.0,1.0,0.0625
China PR,China PR,0,0,0,0,0,0,0,,0.0,
Chinese Taipei,Chinese Taipei,0,0,0,0,0,0,0,,0.0,
Colombia,Colombia,0,0,0,0,0,0,0,,0.0,
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,0,0,0,0,0,0,0,,0.0,
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
Costa Rica,Costa Rica,0,0,0,0,0,0,0,,0.0,
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,0,0,0,0,0,0,0,,0.0,
Cuba,Cuba,0,0,0,0,0,0,0,,0.0,
Curaçao,Curaçao,0,0,0,0,0,0,0,,0.0,
Cyprus,Cyprus,0,0,0,0,0,0,0,,0.0,
Czech Republic,Czech Republic,0,0,0,0,0,0,0,,0.0,
Czechoslovakia,Czechoslovakia,0,0,0,0,0,0,0,,0.0,
DR Congo,DR Congo,0,0,0,0,0,0,0,,0.0,
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,24,19,1,4,90,24,66,79.16666666666666,58.0,2.4166666666666665
Djibouti,Djibouti,0,0,0,0,0,0,0,,0.0,
Dominica,Dominica,0,0,0,0,0,0,0,,0.0,
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0,,0.0,
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,0,0,0,0,0,0,0,,0.0,
Egypt,Egypt,0,0,0,0,0,0,0,,0.0,
El Salvador,El Salvador,0,0,0,0,0,0,0,,0.0,
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,16,8,4,4,27,19,8,50.0,28.0,1.75
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0,,0.0,
Eritrea,Eritrea,0,0,0,0,0,0,0,,0.0,
Estonia,Estonia,0,0,0,0,0,0,0,,0.0,
Eswatini,Eswatini,0,0,0,0,0,0,0,,0.0,
Ethiopia,Ethiopia,0,0,0,0,0,0,0,,0.0,
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,0,0,0,0,0,0,0,,0.0,
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,0,0,0,0,0,0,0,,0.0,
Finland,Finland,5,0,1,4,9,20,-11,0.0,1.0,0.2
France,France,22,8,4,10,53,57,-4,36.36363636363637,28.0,1.2727272727272727
French Guiana,French Guiana,0,0,0,0,0,0,0,,0.0,
Frøya,Frøya,0,0,0,0,0,0,0,,0.0,
Gabon,Gabon,0,0,0,0,0,0,0,,0.0,
Galicia,Galicia,0,0,0,0,0,0,0,,0.0,
Gambia,Gambia,0,0,0,0,0,0,0,,0.0,
Georgia,Georgia,0,0,0,0,0,0,0,,0.0,
German DR,German DR,0,0,0,0,0,0,0,,0.0,
Germany,Germany,20,4,3,13,43,63,-20,20.0,15.0,0.75
Ghana,Ghana,0,0,0,0,0,0,0,,0.0,
Gibraltar,Gibraltar,0,0,0,0,0,0,0,,0.0,
Gotland,Gotland,0,0,0,0,0,0,0,,0.0,
Gozo,Gozo,0,0,0,0,0,0,0,,0.0,
Greece,Greece,0,0,0,0,0,0,0,,0.0,
Greenland,Greenland,0,0,0,0,0,0,0,,0.0,
Grenada,Grenada,0,0,0,0,0,0,0,,0.0,
