,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,,0.0,
Albania,Albania,0,0,0,0,0,0,0,,0.0,
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,0,0,0,0,0,0,0,,0.0,
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,1,0,0,1,1,4,-3,0.0,0.0,0.0
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,0,0,0,0,0,0,0,,0.0,
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,,0.0,
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,70,35,19,16,126,66,60,50.0,124.0,1.7714285714285714
Armenia,Armenia,0,0,0,0,0,0,0,,0.0,
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,1,0,0,1,0,4,-4,0.0,0.0,0.0
Australia,Australia,12,4,2,6,17,23,-6,33.33333333333333,14.0,1.1666666666666667
Austria,Austria,69,39,15,15,173,101,72,56.52173913043478,132.0,1.9130434782608696
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,,0.0,
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,0,0,0,0,0,0,0,,0.0,
Bangladesh,Bangladesh,0,0,0,0,0,0,0,,0.0,
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,3,3,0,0,7,1,6,100.0,9.0,3.0
Basque Country,Basque Country,1,1,0,0,2,1,1,100.0,3.0,3.0
Belarus,Belarus,3,1,0,2,9,11,-2,33.33333333333333,3.0,1.0
Belgium,Belgium,51,14,11,26,79,117,-38,27.450980392156865,53.0,1.0392156862745099
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,0,0,0,0,0,0,0,,0.0,
Bermuda,Bermuda,0,0,0,0,0,0,0,,0.0,
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,7,0,0,7,5,43,-38,0.0,0.0,0.0
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,0,0,0,0,0,0,0,,0.0,
Brazil,Brazil,23,10,4,9,34,31,3,43.47826086956522,34.0,1.4782608695652173
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,5,2,2,1,8,8,0,40.0,8.0,1.6
Brunei,Brunei,0,0,0,0,0,0,0,,0.0,
Bulgaria,Bulgaria,11,0,2,9,12,36,-24,0.0,2.0,0.18181818181818182
Burkina Faso,Burkina Faso,0,0,0,0,0,0,0,,0.0,
Burma,Burma,0,0,0,0,0,0,0,,0.0,
Burundi,Burundi,0,0,0,0,0,0,0,,0.0,
Cambodia,Cambodia,0,0,0,0,0,0,0,,0.0,
Cameroon,Cameroon,0,0,0,0,0,0,0,,0.0,
Canada,Canada,14,5,2,7,20,27,-7,35.714285714285715,17.0,1.2142857142857142
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,0,0,0,0,0,0,0,,0.0,
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,6,3,0,3,9,12,-3,50.0,9.0,1.5
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,0,0,0,0,0,0,0,,0.0,
Central Spain,Central Spain,2,1,0,1,2,4,-2,50.0,3.0,1.5
Chad,Chad,0,0,0,0,0,0,0,,0.0,
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,19,2,4,13,22,45,-23,10.526315789473683,10.0,0.5263157894736842
China PR,China PR,6,6,0,0,23,4,19,100.0,18.0,3.0
Chinese Taipei,Chinese Taipei,0,0,0,0,0,0,0,,0.0,
Colombia,Colombia,0,0,0,0,0,0,0,,0.0,
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,0,0,0,0,0,0,0,,0.0,
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
Costa Rica,Costa Rica,2,2,0,0,13,0,13,100.0,6.0,3.0
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,0,0,0,0,0,0,0,,0.0,
Cuba,Cuba,0,0,0,0,0,0,0,,0.0,
Curaçao,Curaçao,6,2,2,2,9,7,2,33.33333333333333,8.0,1.3333333333333333
Cyprus,Cyprus,0,0,0,0,0,0,0,,0.0,
Czech Republic,Czech Republic,0,0,0,0,0,0,0,,0.0,
Czechoslovakia,Czechoslovakia,48,30,9,9,141,69,72,62.5,99.0,2.0625
DR Congo,DR Congo,0,0,0,0,0,0,0,,0.0,
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,39,17,9,13,75,60,15,43.58974358974359,60.0,1.5384615384615385
Djibouti,Djibouti,0,0,0,0,0,0,0,,0.0,
Dominica,Dominica,0,0,0,0,0,0,0,,0.0,
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0,,0.0,
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,0,0,0,0,0,0,0,,0.0,
Egypt,Egypt,5,2,1,2,14,10,4,40.0,7.0,1.4
El Salvador,El Salvador,5,2,1,2,14,8,6,40.0,7.0,1.4
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,49,27,9,13,125,72,53,55.10204081632652,90.0,1.836734693877551
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0,,0.0,
Eritrea,Eritrea,0,0,0,0,0,0,0,,0.0,
Estonia,Estonia,39,12,9,18,65,86,-21,30.76923076923077,45.0,1.1538461538461537
Eswatini,Eswatini,0,0,0,0,0,0,0,,0.0,
Ethiopia,Ethiopia,0,0,0,0,0,0,0,,0.0,
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,0,0,0,0,0,0,0,,0.0,
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,0,0,0,0,0,0,0,,0.0,
Finland,Finland,55,17,6,32,108,145,-37,30.909090909090907,57.0,1.0363636363636364
France,France,46,11,4,31,63,155,-92,23.91304347826087,37.0,0.8043478260869565
French Guiana,French Guiana,0,0,0,0,0,0,0,,0.0,
Frøya,Frøya,0,0,0,0,0,0,0,,0.0,
Gabon,Gabon,0,0,0,0,0,0,0,,0.0,
Galicia,Galicia,4,2,0,2,9,6,3,50.0,6.0,1.5
Gambia,Gambia,0,0,0,0,0,0,0,,0.0,
Georgia,Georgia,0,0,0,0,0,0,0,,0.0,
German DR,German DR,0,0,0,0,0,0,0,,0.0,
Germany,Germany,42,19,9,14,85,70,15,45.23809523809524,66.0,1.5714285714285714
Ghana,Ghana,0,0,0,0,0,0,0,,0.0,
