,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,,0.0,
Albania,Albania,12,1,2,9,3,28,-25,8.333333333333332,5.0,0.4166666666666667
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,25,8,8,9,28,28,0,32.0,32.0,1.28
American Samoa,American Samoa,0,0,0,0,0,0,0,,0.0,
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,0,0,0,0,0,0,0,,0.0,
Anguilla,Anguilla,0,0,0,0,0,0,0,,0.0,
Antigua and Barbuda,Antigua and Barbuda,0,0,0,0,0,0,0,,0.0,
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,90,41,24,25,156,107,49,45.55555555555556,147.0,1.6333333333333333
Armenia,Armenia,0,0,0,0,0,0,0,,0.0,
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,0,0,0,0,0,0,0,,0.0,
Australia,Australia,24,11,8,5,41,32,9,45.83333333333333,41.0,1.7083333333333333
Austria,Austria,70,25,12,33,90,110,-20,35.714285714285715,87.0,1.2428571428571429
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,,0.0,
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,4,0,1,3,7,22,-15,0.0,1.0,0.25
Bangladesh,Bangladesh,0,0,0,0,0,0,0,,0.0,
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,2,0,1,1,0,2,-2,0.0,1.0,0.5
Basque Country,Basque Country,0,0,0,0,0,0,0,,0.0,
Belarus,Belarus,1,1,0,0,2,1,1,100.0,3.0,3.0
Belgium,Belgium,68,33,9,26,114,92,22,48.529411764705884,108.0,1.588235294117647
Belize,Belize,0,0,0,0,0,0,0,,0.0,
Benin,Benin,17,5,4,8,29,37,-8,29.411764705882355,19.0,1.1176470588235294
Bermuda,Bermuda,11,1,1,9,10,37,-27,9.090909090909092,4.0,0.36363636363636365
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,25,10,3,12,37,51,-14,40.0,33.0,1.32
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,1,0,0,1,1,8,-7,0.0,0.0,0.0
Brazil,Brazil,114,77,16,21,273,133,140,67.54385964912281,247.0,2.1666666666666665
British Virgin Islands,British Virgin Islands,0,0,0,0,0,0,0,,0.0,
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,0,0,0,0,0,0,0,,0.0,
Bulgaria,Bulgaria,67,31,13,23,94,92,2,46.26865671641791,106.0,1.5820895522388059
Burkina Faso,Burkina Faso,14,6,0,8,25,36,-11,42.857142857142854,18.0,1.2857142857142858
Burma,Burma,53,29,9,15,101,57,44,54.71698113207547,96.0,1.8113207547169812
Burundi,Burundi,1,0,0,1,5,7,-2,0.0,0.0,0.0
Cambodia,Cambodia,15,1,4,10,14,35,-21,6.666666666666667,7.0,0.4666666666666667
Cameroon,Cameroon,30,11,8,11,68,62,6,36.666666666666664,41.0,1.3666666666666667
Canada,Canada,2,1,1,0,4,0,4,50.0,4.0,2.0
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,0,0,0,0,0,0,0,,0.0,
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,0,0,0,0,0,0,0,,0.0,
Cayman Islands,Cayman Islands,0,0,0,0,0,0,0,,0.0,
Central African Republic,Central African Republic,6,1,0,5,10,20,-10,16.666666666666664,3.0,0.5
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,1,0,0,1,0,11,-11,0.0,0.0,0.0
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,84,28,21,35,120,133,-13,33.33333333333333,105.0,1.25
China PR,China PR,29,20,4,5,88,28,60,68.96551724137932,64.0,2.206896551724138
Chinese Taipei,Chinese Taipei,28,8,7,13,51,64,-13,28.57142857142857,31.0,1.1071428571428572
Colombia,Colombia,37,5,8,24,46,84,-38,13.513513513513514,23.0,0.6216216216216216
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,38,14,9,15,76,73,3,36.84210526315789,51.0,1.3421052631578947
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,1,1,0,0,2,0,2,100.0,3.0,3.0
Costa Rica,Costa Rica,50,26,13,11,99,47,52,52.0,91.0,1.82
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,0,0,0,0,0,0,0,,0.0,
Cuba,Cuba,13,1,3,9,13,25,-12,7.6923076923076925,6.0,0.46153846153846156
Curaçao,Curaçao,60,18,18,24,72,114,-42,30.0,72.0,1.2
Cyprus,Cyprus,21,3,1,17,12,88,-76,14.285714285714285,10.0,0.47619047619047616
Czech Republic,Czech Republic,0,0,0,0,0,0,0,,0.0,
Czechoslovakia,Czechoslovakia,65,33,11,21,127,80,47,50.76923076923077,110.0,1.6923076923076923
DR Congo,DR Congo,50,27,6,17,109,72,37,54.0,87.0,1.74
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,83,34,13,36,180,150,30,40.963855421686745,115.0,1.3855421686746987
Djibouti,Djibouti,1,0,0,1,2,9,-7,0.0,0.0,0.0
Dominica,Dominica,24,3,5,16,31,73,-42,12.5,14.0,0.5833333333333334
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0,,0.0,
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,20,4,5,11,33,50,-17,20.0,17.0,0.85
Egypt,Egypt,33,12,9,12,69,63,6,36.36363636363637,45.0,1.3636363636363635
El Salvador,El Salvador,33,18,6,9,50,36,14,54.54545454545454,60.0,1.8181818181818181
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,100,61,23,16,237,108,129,61.0,206.0,2.06
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0,,0.0,
Eritrea,Eritrea,0,0,0,0,0,0,0,,0.0,
Estonia,Estonia,0,0,0,0,0,0,0,,0.0,
Eswatini,Eswatini,3,2,0,1,4,3,1,66.66666666666666,6.0,2.0
Ethiopia,Ethiopia,52,27,4,21,113,85,28,51.92307692307693,85.0,1.6346153846153846
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,0,0,0,0,0,0,0,,0.0,
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,11,4,1,6,23,35,-12,36.36363636363637,13.0,1.1818181818181819
Finland,Finland,59,11,7,41,61,170,-109,18.64406779661017,40.0,0.6779661016949152
France,France,69,19,15,35,100,120,-20,27.536231884057973,72.0,1.0434782608695652
