,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Gibraltar,Gibraltar,0,0,0,0,0,0,0,,0.0,
Gotland,Gotland,0,0,0,0,0,0,0,,0.0,
Gozo,Gozo,0,0,0,0,0,0,0,,0.0,
Greece,Greece,26,5,3,18,42,90,-48,19.230769230769234,18.0,0.6923076923076923
Greenland,Greenland,0,0,0,0,0,0,0,,0.0,
Grenada,Grenada,2,2,0,0,8,2,6,100.0,6.0,3.0
Guadeloupe,Guadeloupe,1,0,0,1,0,6,-6,0.0,0.0,0.0
Guam,Guam,0,0,0,0,0,0,0,,0.0,
Guatemala,Guatemala,0,0,0,0,0,0,0,,0.0,
Guernsey,Guernsey,0,0,0,0,0,0,0,,0.0,
Guinea,Guinea,0,0,0,0,0,0,0,,0.0,
Guinea-Bissau,Guinea-Bissau,0,0,0,0,0,0,0,,0.0,
Guyana,Guyana,19,7,3,9,34,33,1,36.84210526315789,24.0,1.263157894736842
Găgăuzia,Găgăuzia,0,0,0,0,0,0,0,,0.0,
Haiti,Haiti,11,6,2,3,20,15,5,54.54545454545454,20.0,1.8181818181818181
Hitra,Hitra,0,0,0,0,0,0,0,,0.0,
Honduras,Honduras,1,0,0,1,2,3,-1,0.0,0.0,0.0
Hong Kong,Hong Kong,0,0,0,0,0,0,0,,0.0,
Hungary,Hungary,84,36,20,28,211,178,33,42.857142857142854,128.0,1.5238095238095237
Iceland,Iceland,0,0,0,0,0,0,0,,0.0,
India,India,5,1,1,3,16,18,-2,20.0,4.0,0.8
Indonesia,Indonesia,5,1,0,4,11,21,-10,20.0,3.0,0.6
Iran,Iran,0,0,0,0,0,0,0,,0.0,
Iraq,Iraq,0,0,0,0,0,0,0,,0.0,
Iraqi Kurdistan,Iraqi Kurdistan,0,0,0,0,0,0,0,,0.0,
Isle of Man,Isle of Man,0,0,0,0,0,0,0,,0.0,
Isle of Wight,Isle of Wight,0,0,0,0,0,0,0,,0.0,
Israel,Israel,4,0,0,4,3,15,-12,0.0,0.0,0.0
Italy,Italy,67,45,13,9,156,78,78,67.16417910447761,148.0,2.208955223880597
Ivory Coast,Ivory Coast,0,0,0,0,0,0,0,,0.0,
Jamaica,Jamaica,8,1,0,7,7,19,-12,12.5,3.0,0.375
Japan,Japan,5,2,1,2,16,14,2,40.0,7.0,1.4
Jersey,Jersey,0,0,0,0,0,0,0,,0.0,
Jordan,Jordan,0,0,0,0,0,0,0,,0.0,
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0,,0.0,
Kenya,Kenya,9,1,1,7,13,44,-31,11.11111111111111,4.0,0.4444444444444444
Kernow,Kernow,0,0,0,0,0,0,0,,0.0,
Kiribati,Kiribati,0,0,0,0,0,0,0,,0.0,
Kosovo,Kosovo,0,0,0,0,0,0,0,,0.0,
Kuwait,Kuwait,0,0,0,0,0,0,0,,0.0,
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0,,0.0,
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,0,0,0,0,0,0,0,,0.0,
Latvia,Latvia,64,25,17,22,114,123,-9,39.0625,92.0,1.4375
Lebanon,Lebanon,0,0,0,0,0,0,0,,0.0,
Lesotho,Lesotho,0,0,0,0,0,0,0,,0.0,
Liberia,Liberia,0,0,0,0,0,0,0,,0.0,
Libya,Libya,0,0,0,0,0,0,0,,0.0,
Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,,0.0,
Lithuania,Lithuania,46,10,9,27,58,124,-66,21.73913043478261,39.0,0.8478260869565217
Luxembourg,Luxembourg,12,1,0,11,13,50,-37,8.333333333333332,3.0,0.25
Macau,Macau,0,0,0,0,0,0,0,,0.0,
Madagascar,Madagascar,0,0,0,0,0,0,0,,0.0,
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,0,0,0,0,0,0,0,,0.0,
Malaysia,Malaysia,0,0,0,0,0,0,0,,0.0,
Maldives,Maldives,0,0,0,0,0,0,0,,0.0,
Mali,Mali,0,0,0,0,0,0,0,,0.0,
Malta,Malta,0,0,0,0,0,0,0,,0.0,
Manchukuo,Manchukuo,1,0,0,1,0,6,-6,0.0,0.0,0.0
Martinique,Martinique,6,2,1,3,11,8,3,33.33333333333333,7.0,1.1666666666666667
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,0,0,0,0,0,0,0,,0.0,
Mauritius,Mauritius,0,0,0,0,0,0,0,,0.0,
Mayotte,Mayotte,0,0,0,0,0,0,0,,0.0,
Menorca,Menorca,0,0,0,0,0,0,0,,0.0,
Mexico,Mexico,16,7,0,9,48,49,-1,43.75,21.0,1.3125
Micronesia,Micronesia,0,0,0,0,0,0,0,,0.0,
Moldova,Moldova,0,0,0,0,0,0,0,,0.0,
Monaco,Monaco,0,0,0,0,0,0,0,,0.0,
Mongolia,Mongolia,0,0,0,0,0,0,0,,0.0,
Montenegro,Montenegro,0,0,0,0,0,0,0,,0.0,
Montserrat,Montserrat,0,0,0,0,0,0,0,,0.0,
Morocco,Morocco,0,0,0,0,0,0,0,,0.0,
Mozambique,Mozambique,0,0,0,0,0,0,0,,0.0,
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,0,0,0,0,0,0,0,,0.0,
Nepal,Nepal,0,0,0,0,0,0,0,,0.0,
Netherlands,Netherlands,52,24,8,20,140,105,35,46.15384615384615,80.0,1.5384615384615385
New Caledonia,New Caledonia,0,0,0,0,0,0,0,,0.0,
New Zealand,New Zealand,6,0,0,6,10,35,-25,0.0,0.0,0.0
Nicaragua,Nicaragua,0,0,0,0,0,0,0,,0.0,
Niger,Niger,0,0,0,0,0,0,0,,0.0,
Nigeria,Nigeria,0,0,0,0,0,0,0,,0.0,
Niue,Niue,0,0,0,0,0,0,0,,0.0,
North Korea,North Korea,0,0,0,0,0,0,0,,0.0,
North Macedonia,North Macedonia,0,0,0,0,0,0,0,,0.0,
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,0,0,0,0,0,0,0,,0.0,
Northern Ireland,Northern Ireland,29,6,3,20,38,75,-37,20.689655172413794,21.0,0.7241379310344828
Northern Mariana Islands,Northern Mariana Islands,0,0,0,0,0,0,0,,0.0,
Norway,Norway,55,21,12,22,113,117,-4,38.18181818181819,75.0,1.3636363636363635
Occitania,Occitania,0,0,0,0,0,0,0,,0.0,
Oman,Oman,0,0,0,0,0,0,0,,0.0,
Orkney,Orkney,0,0,0,0,0,0,0,,0.0,
Padania,Padania,0,0,0,0,0,0,0,,0.0,
Pakistan,Pakistan,0,0,0,0,0,0,0,,0.0,
Palau,Palau,0,0,0,0,0,0,0,,0.0,
Palestine,Palestine,0,0,0,0,0,0,0,,0.0,
Panama,Panama,4,0,1,3,1,9,-8,0.0,1.0,0.25
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,0,0,0,0,0,0,0,,0.0,
Paraguay,Paraguay,18,5,3,10,24,40,-16,27.77777777777778,18.0,1.0
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,17,9,1,7,38,27,11,52.94117647058824,28.0,1.6470588235294117
Philippines,Philippines,3,1,0,2,3,9,-6,33.33333333333333,3.0,1.0
Poland,Poland,51,18,10,23,121,119,2,35.294117647058826,64.0,1.2549019607843137
Portugal,Portugal,21,8,2,11,29,41,-12,38.095238095238095,26.0,1.2380952380952381
Provence,Provence,0,0,0,0,0,0,0,,0.0,
Puerto Rico,Puerto Rico,0,0,0,0,0,0,0,,0.0,
Qatar,Qatar,0,0,0,0,0,0,0,,0.0,
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,26,9,8,9,56,59,-3,34.61538461538461,35.0,1.3461538461538463
Republic of St. Pauli,Republic of St. Pauli,0,0,0,0,0,0,0,,0.0,
Rhodes,Rhodes,0,0,0,0,0,0,0,,0.0,
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,49,21,8,20,115,107,8,42.857142857142854,71.0,1.4489795918367347
Russia,Russia,0,0,0,0,0,0,0,,0.0,
Rwanda,Rwanda,0,0,0,0,0,0,0,,0.0,
Réunion,Réunion,0,0,0,0,0,0,0,,0.0,
Saare County,Saare County,0,0,0,0,0,0,0,,0.0,
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,2,0,0,2,2,8,-6,0.0,0.0,0.0
Saint Lucia,Saint Lucia,3,1,0,2,4,6,-2,33.33333333333333,3.0,1.0
Saint Martin,Saint Martin,0,0,0,0,0,0,0,,0.0,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,,0.0,
Samoa,Samoa,0,0,0,0,0,0,0,,0.0,
San Marino,San Marino,0,0,0,0,0,0,0,,0.0,
Sark,Sark,0,0,0,0,0,0,0,,0.0,
Saudi Arabia,Saudi Arabia,0,0,0,0,0,0,0,,0.0,
Scotland,Scotland,42,23,7,12,84,63,21,54.761904761904766,76.0,1.8095238095238095
Senegal,Senegal,0,0,0,0,0,0,0,,0.0,
Serbia,Serbia,0,0,0,0,0,0,0,,0.0,
Seychelles,Seychelles,0,0,0,0,0,0,0,,0.0,
Shetland,Shetland,0,0,0,0,0,0,0,,0.0,
Sierra Leone,Sierra Leone,0,0,0,0,0,0,0,,0.0,
Silesia,Silesia,2,0,0,2,4,6,-2,0.0,0.0,0.0
Singapore,Singapore,0,0,0,0,0,0,0,,0.0,
Sint Maarten,Sint Maarten,0,0,0,0,0,0,0,,0.0,
Slovakia,Slovakia,2,1,0,1,3,3,0,50.0,3.0,1.5
Slovenia,Slovenia,0,0,0,0,0,0,0,,0.0,
Solomon Islands,Solomon Islands,0,0,0,0,0,0,0,,0.0,
Somalia,Somalia,0,0,0,0,0,0,0,,0.0,
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,0,0,0,0,0,0,0,,0.0,
South Korea,South Korea,0,0,0,0,0,0,0,,0.0,
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,27,14,5,8,63,33,30,51.85185185185185,47.0,1.7407407407407407
Sri Lanka,Sri Lanka,0,0,0,0,0,0,0,,0.0,
Sudan,Sudan,0,0,0,0,0,0,0,,0.0,
Suriname,Suriname,21,6,6,9,39,39,0,28.57142857142857,24.0,1.1428571428571428
Sweden,Sweden,80,42,9,29,225,159,66,52.5,135.0,1.6875
Switzerland,Switzerland,82,24,15,43,134,195,-61,29.268292682926827,87.0,1.0609756097560976
Syria,Syria,0,0,0,0,0,0,0,,0.0,
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,0,0,0,0,0,0,0,,0.0,
São Tomé and Príncipe,São Tomé and Príncipe,0,0,0,0,0,0,0,,0.0,
Tahiti,Tahiti,0,0,0,0,0,0,0,,0.0,
Tajikistan,Tajikistan,0,0,0,0,0,0,0,,0.0,
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,0,0,0,0,0,0,0,,0.0,
Thailand,Thailand,0,0,0,0,0,0,0,,0.0,
Tibet,Tibet,0,0,0,0,0,0,0,,0.0,
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,0,0,0,0,0,0,0,,0.0,
Tonga,Tonga,0,0,0,0,0,0,0,,0.0,
Trinidad and Tobago,Trinidad and Tobago,33,20,6,7,79,41,38,60.60606060606061,66.0,2.0
Tunisia,Tunisia,0,0,0,0,0,0,0,,0.0,
Turkey,Turkey,5,1,1,3,9,14,-5,20.0,4.0,0.8
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0,,0.0,
Turks and Caicos Islands,Turks and Caicos Islands,0,0,0,0,0,0,0,,0.0,
Tuvalu,Tuvalu,0,0,0,0,0,0,0,,0.0,
U.S. Virgin Islands,U.S. Virgin Islands,0,0,0,0,0,0,0,,0.0,
Uganda,Uganda,9,7,1,1,44,13,31,77.77777777777779,22.0,2.4444444444444446
Ukraine,Ukraine,0,0,0,0,0,0,0,,0.0,
United Arab Emirates,United Arab Emirates,0,0,0,0,0,0,0,,0.0,
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,10,3,0,7,22,42,-20,30.0,9.0,0.9
Uruguay,Uruguay,34,15,3,16,59,57,2,44.11764705882353,48.0,1.411764705882353
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0,,0.0,
Vanuatu,Vanuatu,0,0,0,0,0,0,0,,0.0,
Vatican City,Vatican City,0,0,0,0,0,0,0,,0.0,
Venezuela,Venezuela,4,0,0,4,4,12,-8,0.0,0.0,0.0
Vietnam,Vietnam,0,0,0,0,0,0,0,,0.0,
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,30,13,5,12,54,60,-6,43.333333333333336,44.0,1.4666666666666666
Wallis Islands and Futuna,Wallis Islands and Futuna,0,0,0,0,0,0,0,,0.0,
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,0,0,0,0,0,0,0,,0.0,
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,0,0,0,0,0,0,0,,0.0,
Yemen DPR,Yemen DPR,0,0,0,0,0,0,0,,0.0,
Ynys Môn,Ynys Môn,0,0,0,0,0,0,0,,0.0,
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,72,28,11,33,161,160,1,38.88888888888889,95.0,1.3194444444444444
Zambia,Zambia,0,0,0,0,0,0,0,,0.0,
Zanzibar,Zanzibar,0,0,0,0,0,0,0,,0.0,
Zimbabwe,Zimbabwe,0,0,0,0,0,0,0,,0.0,
Åland Islands,Åland Islands,0,0,0,0,0,0,0,,0.0,
Asturias,Asturias,0,0,0,0,0,0,0,,0.0,
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,0,0,0,0,0,0,0,,0.0,
