,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,4,0,1,3,1,20,-19,0.0,1.0,0.25
Albania,Albania,38,2,7,29,20,81,-61,5.263157894736842,13.0,0.34210526315789475
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,118,51,37,30,169,113,56,43.22033898305085,190.0,1.6101694915254237
American Samoa,American Samoa,7,1,0,6,7,48,-41,14.285714285714285,3.0,0.42857142857142855
Andalusia,Andalusia,0,0,0,0,0,0,0,,0.0,
Andorra,Andorra,0,0,0,0,0,0,0,,0.0,
Angola,Angola,53,16,19,18,48,61,-13,30.18867924528302,67.0,1.2641509433962264
Anguilla,Anguilla,1,0,0,1,0,1,-1,0.0,0.0,0.0
Antigua and Barbuda,Antigua and Barbuda,20,7,6,7,23,25,-2,35.0,27.0,1.35
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,89,33,32,24,109,85,24,37.07865168539326,131.0,1.4719101123595506
Armenia,Armenia,0,0,0,0,0,0,0,,0.0,
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,6,0,1,5,1,27,-26,0.0,1.0,0.16666666666666666
Australia,Australia,64,25,19,20,121,76,45,39.0625,94.0,1.46875
Austria,Austria,76,30,17,29,107,100,7,39.473684210526315,107.0,1.4078947368421053
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0,,0.0,
Bahamas,Bahamas,0,0,0,0,0,0,0,,0.0,
Bahrain,Bahrain,69,19,20,30,62,86,-24,27.536231884057973,77.0,1.1159420289855073
Bangladesh,Bangladesh,35,6,5,24,26,70,-44,17.142857142857142,23.0,0.6571428571428571
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,28,6,14,8,29,39,-10,21.428571428571427,32.0,1.1428571428571428
Basque Country,Basque Country,1,0,0,1,1,5,-4,0.0,0.0,0.0
Belarus,Belarus,0,0,0,0,0,0,0,,0.0,
Belgium,Belgium,84,39,21,24,126,95,31,46.42857142857143,138.0,1.6428571428571428
Belize,Belize,1,0,0,1,0,2,-2,0.0,0.0,0.0
Benin,Benin,34,4,8,22,30,65,-35,11.76470588235294,20.0,0.5882352941176471
Bermuda,Bermuda,12,2,6,4,15,18,-3,16.666666666666664,12.0,1.0
Bhutan,Bhutan,2,0,0,2,1,7,-6,0.0,0.0,0.0
Bolivia,Bolivia,49,9,11,29,44,84,-40,18.367346938775512,38.0,0.7755102040816326
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0,,0.0,
Botswana,Botswana,10,3,1,6,8,21,-13,30.0,10.0,1.0
Brazil,Brazil,115,72,27,16,220,82,138,62.60869565217392,243.0,2.1130434782608694
British Virgin Islands,British Virgin Islands,4,2,1,1,3,5,-2,50.0,7.0,1.75
Brittany,Brittany,0,0,0,0,0,0,0,,0.0,
Brunei,Brunei,15,1,0,14,8,63,-55,6.666666666666667,3.0,0.2
Bulgaria,Bulgaria,104,36,26,42,150,139,11,34.61538461538461,134.0,1.2884615384615385
Burkina Faso,Burkina Faso,44,17,9,18,43,55,-12,38.63636363636363,60.0,1.3636363636363635
Burma,Burma,8,4,2,2,14,10,4,50.0,14.0,1.75
Burundi,Burundi,7,2,3,2,10,9,1,28.57142857142857,9.0,1.2857142857142858
Cambodia,Cambodia,0,0,0,0,0,0,0,,0.0,
Cameroon,Cameroon,95,47,31,17,142,78,64,49.473684210526315,172.0,1.8105263157894738
Canada,Canada,80,26,20,34,72,97,-25,32.5,98.0,1.225
Canary Islands,Canary Islands,0,0,0,0,0,0,0,,0.0,
Cape Verde,Cape Verde,32,9,5,18,30,45,-15,28.125,32.0,1.0
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,0,0,0,0,0,0,0,,0.0,
Cayman Islands,Cayman Islands,2,0,0,2,2,5,-3,0.0,0.0,0.0
Central African Republic,Central African Republic,20,1,5,14,15,47,-32,5.0,8.0,0.4
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,21,3,8,10,21,32,-11,14.285714285714285,17.0,0.8095238095238095
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,99,43,26,30,136,99,37,43.43434343434344,155.0,1.5656565656565657
China PR,China PR,113,54,25,34,192,96,96,47.78761061946903,187.0,1.654867256637168
Chinese Taipei,Chinese Taipei,9,1,0,8,7,30,-23,11.11111111111111,3.0,0.3333333333333333
Colombia,Colombia,67,27,22,18,79,64,15,40.298507462686565,103.0,1.537313432835821
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
