,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,27,3,6,18,18,78,-60,11.11111111111111,15.0,0.5555555555555556
Albania,Albania,86,25,21,40,93,115,-22,29.069767441860467,96.0,1.1162790697674418
Alderney,Alderney,4,1,0,3,3,13,-10,25.0,3.0,0.75
Algeria,Algeria,105,38,33,34,132,120,12,36.19047619047619,147.0,1.4
American Samoa,American Samoa,17,0,0,17,5,160,-155,0.0,0.0,0.0
Andalusia,Andalusia,8,6,2,0,20,8,12,75.0,20.0,2.5
Andorra,Andorra,69,3,7,59,23,200,-177,4.3478260869565215,16.0,0.2318840579710145
Angola,Angola,121,43,43,35,155,131,24,35.53719008264463,172.0,1.421487603305785
Anguilla,Anguilla,17,2,1,14,19,65,-46,11.76470588235294,7.0,0.4117647058823529
Antigua and Barbuda,Antigua and Barbuda,60,20,12,28,92,114,-22,33.33333333333333,72.0,1.2
Arameans Suryoye,Arameans Suryoye,5,2,1,2,7,6,1,40.0,7.0,1.4
Argentina,Argentina,124,75,27,22,228,119,109,60.483870967741936,252.0,2.032258064516129
Armenia,Armenia,79,16,20,43,60,126,-66,20.253164556962027,68.0,0.8607594936708861
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,16,1,2,13,15,56,-41,6.25,5.0,0.3125
Australia,Australia,111,62,22,27,277,91,186,55.85585585585585,208.0,1.8738738738738738
Austria,Austria,92,25,27,40,117,142,-25,27.173913043478258,102.0,1.108695652173913
Azerbaijan,Azerbaijan,100,13,29,58,57,161,-104,13.0,68.0,0.68
Bahamas,Bahamas,17,4,3,10,17,58,-41,23.52941176470588,15.0,0.8823529411764706
Bahrain,Bahrain,184,72,50,62,263,228,35,39.130434782608695,266.0,1.4456521739130435
Bangladesh,Bangladesh,59,16,16,27,55,92,-37,27.11864406779661,64.0,1.0847457627118644
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,77,28,19,30,117,132,-15,36.36363636363637,103.0,1.3376623376623376
Basque Country,Basque Country,11,6,3,2,22,14,8,54.54545454545454,21.0,1.9090909090909092
Belarus,Belarus,89,32,20,37,127,133,-6,35.95505617977528,116.0,1.303370786516854
Belgium,Belgium,97,39,25,33,141,130,11,40.20618556701031,142.0,1.4639175257731958
Belize,Belize,28,6,4,18,32,65,-33,21.428571428571427,22.0,0.7857142857142857
Benin,Benin,76,21,15,40,86,135,-49,27.631578947368425,78.0,1.0263157894736843
Bermuda,Bermuda,47,17,7,23,89,71,18,36.17021276595745,58.0,1.2340425531914894
Bhutan,Bhutan,37,4,4,29,25,137,-112,10.81081081081081,16.0,0.43243243243243246
Bolivia,Bolivia,88,18,19,51,89,163,-74,20.454545454545457,73.0,0.8295454545454546
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,90,32,21,37,122,130,-8,35.55555555555556,117.0,1.3
Botswana,Botswana,102,30,35,37,78,88,-10,29.411764705882355,125.0,1.2254901960784315
Brazil,Brazil,154,96,34,24,322,116,206,62.33766233766234,322.0,2.090909090909091
British Virgin Islands,British Virgin Islands,37,8,9,20,39,89,-50,21.62162162162162,33.0,0.8918918918918919
Brittany,Brittany,1,1,0,0,3,1,2,100.0,3.0,3.0
Brunei,Brunei,23,2,4,17,13,71,-58,8.695652173913043,10.0,0.43478260869565216
Bulgaria,Bulgaria,102,49,27,26,152,118,34,48.03921568627451,174.0,1.7058823529411764
Burkina Faso,Burkina Faso,101,30,25,46,113,139,-26,29.7029702970297,115.0,1.1386138613861385
Burma,Burma,67,28,10,29,97,118,-21,41.7910447761194,94.0,1.4029850746268657
Burundi,Burundi,70,20,13,37,70,100,-30,28.57142857142857,73.0,1.042857142857143
Cambodia,Cambodia,50,8,5,37,48,159,-111,16.0,29.0,0.58
Cameroon,Cameroon,105,57,27,21,161,85,76,54.285714285714285,198.0,1.8857142857142857
Canada,Canada,90,33,19,38,97,116,-19,36.666666666666664,118.0,1.3111111111111111
Canary Islands,Canary Islands,2,1,0,1,2,2,0,50.0,3.0,1.5
Cape Verde,Cape Verde,52,19,14,19,57,62,-5,36.53846153846153,71.0,1.3653846153846154
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,14,7,3,4,27,21,6,50.0,24.0,1.7142857142857142
Cayman Islands,Cayman Islands,30,4,7,19,21,68,-47,13.333333333333334,19.0,0.6333333333333333
Central African Republic,Central African Republic,15,1,4,10,11,28,-17,6.666666666666667,7.0,0.4666666666666667
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,34,8,8,18,34,61,-27,23.52941176470588,32.0,0.9411764705882353
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,125,50,25,50,148,154,-6,40.0,175.0,1.4
China PR,China PR,146,63,38,45,251,158,93,43.15068493150685,227.0,1.5547945205479452
Chinese Taipei,Chinese Taipei,34,7,5,22,43,109,-66,20.588235294117645,26.0,0.7647058823529411
Colombia,Colombia,137,60,35,42,166,132,34,43.79562043795621,215.0,1.5693430656934306
Comoros,Comoros,10,2,1,7,8,23,-15,20.0,7.0,0.7
Congo,Congo,78,23,24,31,75,97,-22,29.48717948717949,93.0,1.1923076923076923
Cook Islands,Cook Islands,18,3,2,13,13,76,-63,16.666666666666664,11.0,0.6111111111111112
Corsica,Corsica,1,0,1,0,1,1,0,0.0,1.0,1.0
Costa Rica,Costa Rica,166,72,41,53,254,200,54,43.373493975903614,257.0,1.5481927710843373
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,5,3,0,2,7,11,-4,60.0,9.0,1.8
Croatia,Croatia,112,59,34,19,185,102,83,52.67857142857143,211.0,1.8839285714285714
Cuba,Cuba,99,40,28,31,149,117,32,40.4040404040404,148.0,1.494949494949495
Curaçao,Curaçao,32,9,7,16,33,52,-19,28.125,34.0,1.0625
Cyprus,Cyprus,90,27,17,46,112,173,-61,30.0,98.0,1.0888888888888888
Czech Republic,Czech Republic,116,67,23,26,231,100,131,57.758620689655174,224.0,1.9310344827586208
Czechoslovakia,Czechoslovakia,0,0,0,0,0,0,0,,0.0,
DR Congo,DR Congo,97,31,34,32,129,126,3,31.958762886597935,127.0,1.309278350515464
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,108,54,30,24,176,110,66,50.0,192.0,1.7777777777777777
Djibouti,Djibouti,37,1,3,33,24,156,-132,2.7027027027027026,6.0,0.16216216216216217
Dominica,Dominica,39,7,5,27,35,104,-69,17.94871794871795,26.0,0.6666666666666666
Dominican Republic,Dominican Republic,28,9,1,18,42,57,-15,32.142857142857146,28.0,1.0
