,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,0,0,0,0,0,0,0,,0.0,
Afghanistan,Afghanistan,0,0,0,0,0,0,0,,0.0,
Albania,Albania,63,11,12,40,52,117,-65,17.46031746031746,45.0,0.7142857142857143
Alderney,Alderney,0,0,0,0,0,0,0,,0.0,
Algeria,Algeria,86,36,28,22,114,73,41,41.86046511627907,136.0,1.5813953488372092
American Samoa,American Samoa,7,0,0,7,6,30,-24,0.0,0.0,0.0
Andalusia,Andalusia,3,1,2,0,2,1,1,33.33333333333333,5.0,1.6666666666666667
Andorra,Andorra,19,0,1,18,7,57,-50,0.0,1.0,0.05263157894736842
Angola,Angola,58,25,16,17,78,62,16,43.103448275862064,91.0,1.5689655172413792
Anguilla,Anguilla,17,0,1,16,6,87,-81,0.0,1.0,0.058823529411764705
Antigua and Barbuda,Antigua and Barbuda,47,13,11,23,69,77,-8,27.659574468085108,50.0,1.0638297872340425
Arameans Suryoye,Arameans Suryoye,0,0,0,0,0,0,0,,0.0,
Argentina,Argentina,125,63,38,24,193,110,83,50.4,227.0,1.816
Armenia,Armenia,45,8,10,27,27,86,-59,17.77777777777778,34.0,0.7555555555555555
Artsakh,Artsakh,0,0,0,0,0,0,0,,0.0,
Aruba,Aruba,13,2,1,10,16,34,-18,15.384615384615385,7.0,0.5384615384615384
Australia,Australia,86,45,15,26,142,71,71,52.32558139534884,150.0,1.744186046511628
Austria,Austria,86,34,19,33,145,131,14,39.53488372093023,121.0,1.4069767441860466
Azerbaijan,Azerbaijan,50,12,7,31,38,107,-69,24.0,43.0,0.86
Bahamas,Bahamas,6,1,1,4,4,21,-17,16.666666666666664,4.0,0.6666666666666666
Bahrain,Bahrain,47,13,16,18,46,57,-11,27.659574468085108,55.0,1.1702127659574468
Bangladesh,Bangladesh,33,9,4,20,31,78,-47,27.27272727272727,31.0,0.9393939393939394
Barawa,Barawa,0,0,0,0,0,0,0,,0.0,
Barbados,Barbados,47,21,8,18,67,49,18,44.680851063829785,71.0,1.5106382978723405
Basque Country,Basque Country,8,6,2,0,23,8,15,75.0,20.0,2.5
Belarus,Belarus,47,6,15,26,42,75,-33,12.76595744680851,33.0,0.7021276595744681
Belgium,Belgium,88,36,23,29,125,95,30,40.909090909090914,131.0,1.4886363636363635
Belize,Belize,8,0,1,7,5,25,-20,0.0,1.0,0.125
Benin,Benin,43,4,12,27,27,86,-59,9.30232558139535,24.0,0.5581395348837209
Bermuda,Bermuda,33,14,6,13,49,41,8,42.42424242424242,48.0,1.4545454545454546
Bhutan,Bhutan,0,0,0,0,0,0,0,,0.0,
Bolivia,Bolivia,107,27,38,42,115,126,-11,25.233644859813083,119.0,1.1121495327102804
Bonaire,Bonaire,0,0,0,0,0,0,0,,0.0,
Bosnia and Herzegovina,Bosnia and Herzegovina,34,10,7,17,38,54,-16,29.411764705882355,37.0,1.088235294117647
Botswana,Botswana,43,3,14,26,24,87,-63,6.976744186046512,23.0,0.5348837209302325
Brazil,Brazil,160,105,35,20,358,132,226,65.625,350.0,2.1875
British Virgin Islands,British Virgin Islands,24,4,2,18,22,76,-54,16.666666666666664,14.0,0.5833333333333334
Brittany,Brittany,1,0,1,0,1,1,0,0.0,1.0,1.0
Brunei,Brunei,7,1,0,6,4,23,-19,14.285714285714285,3.0,0.42857142857142855
Bulgaria,Bulgaria,98,39,25,34,138,112,26,39.795918367346935,142.0,1.4489795918367347
Burkina Faso,Burkina Faso,87,24,32,31,103,129,-26,27.586206896551722,104.0,1.1954022988505748
Burma,Burma,21,9,3,9,47,54,-7,42.857142857142854,30.0,1.4285714285714286
Burundi,Burundi,23,10,7,6,19,16,3,43.47826086956522,37.0,1.608695652173913
Cambodia,Cambodia,16,0,2,14,8,62,-54,0.0,2.0,0.125
Cameroon,Cameroon,132,51,43,38,154,144,10,38.63636363636363,196.0,1.4848484848484849
Canada,Canada,75,28,16,31,88,114,-26,37.333333333333336,100.0,1.3333333333333333
Canary Islands,Canary Islands,2,2,0,0,9,1,8,100.0,6.0,3.0
Cape Verde,Cape Verde,17,4,5,8,10,20,-10,23.52941176470588,17.0,1.0
Cascadia,Cascadia,0,0,0,0,0,0,0,,0.0,
Catalonia,Catalonia,3,2,1,0,7,1,6,66.66666666666666,7.0,2.3333333333333335
Cayman Islands,Cayman Islands,39,10,4,25,54,108,-54,25.64102564102564,34.0,0.8717948717948718
Central African Republic,Central African Republic,9,3,1,5,18,18,0,33.33333333333333,10.0,1.1111111111111112
Central Spain,Central Spain,0,0,0,0,0,0,0,,0.0,
Chad,Chad,20,5,4,11,16,28,-12,25.0,19.0,0.95
Chagos Islands,Chagos Islands,0,0,0,0,0,0,0,,0.0,
Chameria,Chameria,0,0,0,0,0,0,0,,0.0,
Chile,Chile,93,37,25,31,142,116,26,39.784946236559136,136.0,1.4623655913978495
China PR,China PR,91,40,21,30,139,97,42,43.956043956043956,141.0,1.5494505494505495
Chinese Taipei,Chinese Taipei,11,1,1,9,6,41,-35,9.090909090909092,4.0,0.36363636363636365
Colombia,Colombia,128,49,43,36,158,128,30,38.28125,190.0,1.484375
Comoros,Comoros,0,0,0,0,0,0,0,,0.0,
Congo,Congo,72,26,19,27,77,75,2,36.11111111111111,97.0,1.3472222222222223
Cook Islands,Cook Islands,12,3,1,8,11,71,-60,25.0,10.0,0.8333333333333334
Corsica,Corsica,1,0,0,1,0,1,-1,0.0,0.0,0.0
Costa Rica,Costa Rica,114,42,26,46,175,145,30,36.84210526315789,152.0,1.3333333333333333
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,73,38,20,15,133,76,57,52.054794520547944,134.0,1.8356164383561644
Cuba,Cuba,52,25,12,15,98,60,38,48.07692307692308,87.0,1.6730769230769231
Curaçao,Curaçao,26,7,9,10,33,44,-11,26.923076923076923,30.0,1.1538461538461537
Cyprus,Cyprus,80,22,16,42,87,153,-66,27.500000000000004,82.0,1.025
Czech Republic,Czech Republic,77,46,17,14,147,68,79,59.74025974025974,155.0,2.012987012987013
Czechoslovakia,Czechoslovakia,33,13,7,13,48,38,10,39.39393939393939,46.0,1.393939393939394
DR Congo,DR Congo,77,27,23,27,92,78,14,35.064935064935064,104.0,1.3506493506493507
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,102,52,27,23,140,83,57,50.98039215686274,183.0,1.7941176470588236
Djibouti,Djibouti,7,0,0,7,5,27,-22,0.0,0.0,0.0
Dominica,Dominica,37,12,9,16,52,66,-14,32.432432432432435,45.0,1.2162162162162162
Dominican Republic,Dominican Republic,26,8,7,11,31,59,-28,30.76923076923077,31.0,1.1923076923076923
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,93,36,23,34,121,105,16,38.70967741935484,131.0,1.4086021505376345
Egypt,Egypt,149,56,50,43,211,151,60,37.58389261744966,218.0,1.4630872483221478
El Salvador,El Salvador,98,26,23,49,111,164,-53,26.53061224489796,101.0,1.030612244897959
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,112,56,38,18,170,77,93,50.0,206.0,1.8392857142857142
Equatorial Guinea,Equatorial Guinea,10,1,1,8,8,26,-18,10.0,4.0,0.4
